Processing /home/xodhkd36/pratice/insta/10_06/0044.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0053.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0054.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0052.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0008.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0021.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0018.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0001.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0015.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0064.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0061.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0002.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0027.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0038.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_06/0014.jpg... [0 1] ['car', 'notcar']
