Processing /home/xodhkd36/pratice/insta/10_04/0082.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0008.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0076.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0315.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0313.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0493.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0089.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0469.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0090.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0477.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0306.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0474.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0484.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0467.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0483.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0091.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0133.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0321.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0482.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0305.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0491.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_04/0014.jpg... [1 0] ['car', 'notcar']
