Processing /home/xodhkd36/pratice/insta/10_05/0044.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0053.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0054.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0052.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0008.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0021.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0018.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0001.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0015.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0064.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0061.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0040.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0002.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0027.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0038.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0014.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0034.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0009.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0003.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0065.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0048.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0046.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0023.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0007.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0030.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0051.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0006.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0025.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0057.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0004.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0032.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0049.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0017.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0050.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0019.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_05/0047.jpg... [1 0] ['car', 'notcar']
