Processing /home/xodhkd36/pratice/insta/10_14/0044.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0053.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0054.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0052.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0008.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0021.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0018.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0001.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0015.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0064.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0061.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0002.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0027.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0038.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0014.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0034.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0009.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0003.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0065.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0048.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0046.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0023.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0007.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0030.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_14/0051.jpg... [0 1] ['car', 'notcar']
