Processing /home/xodhkd36/pratice/insta/10_16/0044.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0276.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0641.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0018.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0780.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0795.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0801.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0802.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0799.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0285.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0680.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0786.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0002.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0027.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0787.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0038.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0782.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0003.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0614.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0065.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0046.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0023.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0030.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0803.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0085.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0778.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0464.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_16/0789.jpg... [1 0] ['car', 'notcar']
