Processing /home/xodhkd36/pratice/insta/10_08/0044.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0053.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0054.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0052.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0008.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0021.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0018.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0001.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0015.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0064.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0061.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0002.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0027.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0038.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0014.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0034.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0009.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0003.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0065.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0048.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0046.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0023.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0007.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0030.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0051.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0006.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0025.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0057.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0004.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0032.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0049.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0017.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0050.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0019.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0047.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0039.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0036.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0045.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0031.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0005.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0011.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0020.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0060.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0059.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0012.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0024.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0010.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0043.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0042.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0016.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0041.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0035.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0056.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0033.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_08/0029.jpg... [1 0] ['car', 'notcar']
