Processing /home/xodhkd36/pratice/insta/10_15/0044.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0053.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0054.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0052.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0008.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0026.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0021.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0018.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0055.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0062.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0013.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0022.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0058.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0001.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0015.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0064.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0061.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0040.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0002.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0027.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0038.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0014.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0034.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0009.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0003.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0065.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0048.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0046.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0023.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0007.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0030.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0051.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0006.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0025.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0057.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0004.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0032.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0049.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0017.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0050.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0019.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0047.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0039.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0036.jpg... [0 1] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0045.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0031.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0005.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0011.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0020.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0060.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0059.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0012.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0024.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0010.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0043.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0042.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0016.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0041.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0035.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0056.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0033.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0029.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0063.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0037.jpg... [1 0] ['car', 'notcar']
Processing /home/xodhkd36/pratice/insta/10_15/0028.jpg... [1 0] ['car', 'notcar']
